Timestamp,acc_x,acc_y,acc_z,GyroX,GyroY,GyroZ
2024-07-26T01:05:27.257425,-0.09,-0.25,0.22,243.56,-0.94,-2.5
2024-07-26T01:05:27.917542,-0.24,-0.02,0.43,24.12,-0.56,-1.812
2024-07-26T01:05:28.218191,0.1,0.16,-0.28,24294.0,-0.44,-1.8122
2024-07-26T01:05:28.517946,-0.18,0.09,0.02,241.81,-0.44,-2.004
2024-07-26T01:05:28.816694,-0.23,-0.01,0.21,242.19,-0.13,-2.25
2024-07-26T01:05:29.118432,-0.08,-0.02,0.32,24.69,-0.13,-2.447
2024-07-26T01:05:29.478042,-0.16,0.0,0.01,24181.0,0.06,-2.50447
2024-07-26T01:05:30.078623,0.04,0.22,-0.08,241.19,1.06,-0.5647
2024-07-26T01:05:30.376742,0.21,-0.07,0.18,24106.0,0.94,-0.44627
2024-07-26T01:05:31.037892,-0.13,0.07,0.18,24075.0,1.06,0.319527
2024-07-26T01:05:31.398443,-0.37,-0.07,0.03,240.25,1.25,0.1327
2024-07-26T01:05:31.997427,-0.34,-0.01,0.42,2475.0,1.12,-0.13137
2024-07-26T01:05:32.297996,0.52,-0.08,-0.13,24.37,0.62,-0.6277
2024-07-26T01:05:32.656954,-0.26,-0.72,1.57,24.62,-0.5,3.5077
2024-07-26T01:05:33.017658,-1.87,-0.1,7.48,24.19,-6.19,24.31
2024-07-26T01:05:33.678613,3.32,3.25,-2.06,266.56,-6.94,113.31
2024-07-26T01:05:34.038223,1.9,6.96,-8.79,2739.62,1.62,-0.811
2024-07-26T01:05:34.337472,0.83,25.29,3.71,287.56,-1.87,48.131
2024-07-26T01:05:34.637733,0.58,0.96,-3.26,274.69,-6.81,105.62
2024-07-26T01:05:34.940036,0.74,0.04,-0.15,27319.0,-5.81,104.197
2024-07-26T01:05:35.238994,-0.59,0.46,0.69,273.62,-6.75,104.69
2024-07-26T01:05:35.597705,-2.84,5.24,15.87,288.12,-7.12,38.94
2024-07-26T01:05:35.956657,0.46,18.78,4.14,2872.62,-6.69,94.94
2024-07-26T01:05:36.317593,1.56,0.62,-2.55,2730.06,-8.13,99.0
2024-07-26T01:05:36.617455,-1.05,-0.28,2.93,26.87,-7.37,105.37
2024-07-26T01:05:36.916864,-1.72,0.05,4.46,275.87,-7.37,105.37
2024-07-26T01:05:37.216900,1.33,28.43,-8.75,297.44,-7.12,77.69
2024-07-26T01:05:37.577229,-1.99,9.36,-5.42,27.44,2.19,87.7503
2024-07-26T01:05:37.876601,-3.9,0.87,31.62,224.0,10.69,30.75
2024-07-26T01:05:38.178665,1.17,13.27,-1.95,2362.06,1.81,81.69
2024-07-26T01:05:38.478259,3.98,12.8,-16.31,262.06,1.81,81.69
2024-07-26T01:05:38.778515,2.96,7.63,21.84,273.87,-7.12,28.699
2024-07-26T01:05:39.436922,-0.73,3.38,-1.98,264.87,-0.94,86.62
2024-07-26T01:05:39.798170,-0.77,-0.2,0.69,25.62,-2.37,91.949
2024-07-26T01:05:40.157089,0.25,-1.1,4.02,25462.0,-2.25,98.3759
2024-07-26T01:05:40.576700,0.54,0.86,-0.88,253.56,-2.81,104.31
2024-07-26T01:05:40.876762,-2.0,26.31,32.09,232.19,3.94,12.19
2024-07-26T01:05:41.178014,0.59,10.64,2.11,2337.81,3.31,70.759
2024-07-26T01:05:41.477848,0.8,8.05,-12.06,235.5,5.19,38.199
2024-07-26T01:05:42.198381,5.97,7.31,12.09,2197.37,3.12,46.256
2024-07-26T01:05:42.857987,5.21,7.05,-3.95,239.25,0.0,5.4488
2024-07-26T01:05:43.217769,-1.43,12.9,29.86,243.56,-4.5,3.56
2024-07-26T01:05:43.516775,-1.43,12.9,29.86,243.56,-4.5,3.56
2024-07-26T01:05:43.818721,-8.94,6.66,30.01,245.25,-9.44,1.256
2024-07-26T01:05:44.176436,1.95,5.29,-5.57,230.19,-14.5,33.63
2024-07-26T01:05:44.536469,1.95,5.29,-5.57,230.19,-14.5,33.63
2024-07-26T01:05:44.896726,1.95,5.29,-5.57,2306.87,-6.75,65.87
2024-07-26T01:05:45.197131,11.48,6.3,-0.21,277.5,-1.06,40.63
2024-07-26T01:05:45.618201,11.48,6.3,-0.21,277.5,-1.06,40.63
2024-07-26T01:05:45.916499,3.15,3.48,-8.16,190.94,-17.37,36.25
2024-07-26T01:05:46.216770,3.15,3.48,-8.16,190.94,-17.37,36.25
2024-07-26T01:05:46.516845,3.15,3.48,-8.16,190.94,-17.37,36.25
2024-07-26T01:05:46.817278,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:47.117056,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:47.477821,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:47.779216,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:48.089308,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:48.438261,5.18,0.78,-3.16,291.12,-18.37,25.31
2024-07-26T01:05:48.736785,1.97,3.48,3.69,215.06,-10.88,60.881
2024-07-26T01:05:49.160414,3.61,-1.33,1.8,234.12,-8.5,25.691
2024-07-26T01:05:49.456428,1.09,0.29,-1.48,246.19,-9.88,16.441
2024-07-26T01:05:49.756507,-0.79,0.53,1.5,24581.0,-7.5,7.75441
2024-07-26T01:05:50.059771,-0.13,0.68,-0.19,24.19,-1.69,5.5041
2024-07-26T01:05:50.718005,0.58,-0.06,-0.72,24.5,-0.5,1.3121
2024-07-26T01:05:51.019219,-0.4,0.09,0.29,241.69,-1.37,1.5621
2024-07-26T01:05:51.737585,0.6,0.24,0.92,242.25,-0.62,3.44921
2024-07-26T01:05:52.097325,0.26,0.0,0.31,242.0,-0.44,3.87521
2024-07-26T01:05:52.397118,-0.07,0.06,0.04,24194.0,-0.69,3.94421
2024-07-26T01:05:52.758578,0.11,0.04,0.13,241.06,-0.69,4.00021
2024-07-26T01:05:53.057034,-0.28,0.09,0.53,24044.0,-0.94,4.19021
2024-07-26T01:05:53.359651,0.01,0.02,0.22,240.62,-1.12,4.12721
2024-07-26T01:05:53.656635,0.02,0.07,0.17,240.5,-1.19,3.81721
2024-07-26T01:05:53.956526,-0.12,0.15,0.49,24069.0,-0.88,3.44021
2024-07-26T01:05:54.318245,-0.63,0.11,-0.27,2400.0,-1.25,3.94061
2024-07-26T01:05:54.616486,0.78,-0.01,0.32,241.19,-1.25,4.1221
2024-07-26T01:05:54.977127,0.31,0.18,0.03,240.87,-1.25,4.12221
2024-07-26T01:05:55.637782,0.13,0.1,0.08,240.87,-1.31,4.00011
2024-07-26T01:05:55.937680,-0.04,0.08,0.15,240.31,-1.12,4.2511
2024-07-26T01:05:56.238479,-0.28,0.14,0.11,2400.37,-1.44,4.691
2024-07-26T01:05:56.537111,-0.43,0.18,-0.38,2450.0,-1.56,4.87941
2024-07-26T01:05:56.836355,0.12,0.01,-0.04,240.31,-1.56,5.0041
2024-07-26T01:05:57.137284,-0.03,0.07,-0.05,2450.0,-1.62,5.00121
2024-07-26T01:05:57.436992,-0.08,0.14,0.46,2400.19,-1.62,5.121
2024-07-26T01:05:58.396643,0.06,-0.01,0.11,240.19,-1.5,5.1266
2024-07-26T01:05:58.697597,0.0,-0.04,1.17,240.12,-1.56,5.3766
2024-07-26T01:05:58.998209,0.19,-0.06,-0.34,240.0,-1.69,5.196
2024-07-26T01:05:59.298881,-0.17,-0.03,1.85,24.25,-1.69,5.8756
2024-07-26T01:06:00.317126,0.42,0.0,-0.12,240.5,-1.19,5.7512
2024-07-26T01:06:00.677666,-0.13,0.04,0.06,240.0,-1.56,6.2594
2024-07-26T01:06:01.277172,0.1,0.08,-0.03,240.81,-1.37,6.3714
2024-07-26T01:06:01.938074,-0.17,0.0,-0.01,2431.0,-1.19,6.19194
2024-07-26T01:06:02.237277,-0.19,0.0,0.1,24056.0,-1.31,6.12994
2024-07-26T01:06:02.538276,0.02,-0.02,0.07,240.37,-1.19,6.0624
2024-07-26T01:06:03.502123,-0.14,0.05,-0.13,24.75,-1.56,6.8777
2024-07-26T01:06:03.858290,0.0,-0.04,0.12,240.94,-1.56,6.5097
2024-07-26T01:06:04.457711,0.0,-0.01,0.21,2400.56,-1.5,7.007
2024-07-26T01:06:04.817696,0.0,-0.01,0.05,2400.56,-1.44,7.377
2024-07-26T01:06:05.477120,-0.16,-0.04,0.7,2431.0,-0.81,7.44255
2024-07-26T01:06:05.776541,-0.62,-0.02,0.4,2419.0,-0.75,7.44505
2024-07-26T01:06:06.376380,-0.03,0.01,-0.24,2440.87,-1.5,7.75
2024-07-26T01:06:06.676427,-0.41,-0.05,0.18,24.37,-2.19,7.6925
2024-07-26T01:06:07.036419,-0.03,-0.08,-0.59,20.37,-2.25,7.946
2024-07-26T01:06:07.398723,0.02,0.04,0.14,240.87,-2.06,8.06646
2024-07-26T01:06:07.850106,-0.27,0.0,0.0,240.19,-1.87,7.8746
2024-07-26T01:06:08.176224,-0.03,0.02,0.42,241.81,-1.5,9.5046
2024-07-26T01:06:08.536285,-0.26,-0.02,-0.53,2.06,-1.25,9.3169
2024-07-26T01:06:08.836635,0.18,0.01,-0.06,243.5,-1.31,8.7599
2024-07-26T01:06:09.136607,-0.5,0.13,0.66,243.37,-1.87,8.0699
2024-07-26T01:06:09.437829,-0.38,0.03,0.17,242.31,-2.31,9.1399
2024-07-26T01:06:09.736187,-0.34,0.07,-0.36,24.37,-1.31,10.253
2024-07-26T01:06:10.036924,0.23,-0.14,0.31,2433.5,-1.5,10.0
2024-07-26T01:06:10.322833,-0.47,-0.07,0.82,244.12,-2.0,11.19
2024-07-26T01:06:10.627870,0.65,0.39,-1.09,247.37,-1.75,17.626
2024-07-26T01:06:10.936932,0.09,-0.37,0.62,2477.19,-2.19,18.12
2024-07-26T01:06:11.596406,1.16,5.57,-6.35,264.87,1.44,88.4422
2024-07-26T01:06:11.897359,1.94,5.58,2.04,270.75,7.12,8.945562
2024-07-26T01:06:12.196283,0.6,-4.35,16.92,271.56,7.31,4.8162
2024-07-26T01:06:12.494984,-1.08,11.23,-5.77,2.06,6.87,82.6294
2024-07-26T01:06:12.836957,1.91,4.54,-3.54,291.81,13.31,72.874
2024-07-26T01:06:13.474783,2.89,0.29,-0.03,282.31,9.88,1.69878
